"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"PF3D7_0100100",232.595790883576,-0.236841702088668,0.217820907565393,0.239325791723869,0.427066067347487
"PF3D7_0100200",11.6000118964846,-0.846969520833956,0.71699085264896,0.0393355242316075,0.116456635620622
"PF3D7_0100300",1.71552115739468,-0.111498309140517,0.575186137970229,0.475031997477403,0.655631415388378
"PF3D7_0100400",18.0204648473219,-0.893064915833081,0.587167085340996,0.0247438882541758,0.081585732614666
"PF3D7_0100500",0,NA,NA,NA,NA
"PF3D7_0100600",3.43638148490894,-0.0711158346332589,0.541313874905475,0.734368105685816,0.851590928745936
"PF3D7_0100700",0,NA,NA,NA,NA
"PF3D7_0100800",0.153578085776154,-0.0455300439193664,0.583129158604799,0.749011254712138,NA
"PF3D7_0100900",0.437239115427288,0.0174161237738842,0.577207229110387,0.890457170527683,NA
"PF3D7_0101000",0,NA,NA,NA,NA
"PF3D7_0101300",4.28646627469972,-1.12483774269708,2.19218580078127,0.0193275288352516,0.0686078851066663
"PF3D7_0101400",0,NA,NA,NA,NA
"PF3D7_0101500",1.10583524216471,-0.160700944027759,0.610654760275413,0.147746646704016,NA
"PF3D7_0101600",1.97289404288107,-0.352693018158753,0.736311620742434,0.0222349943854934,0.0757303139819104
"PF3D7_0101700",0.460734257328461,-0.0595188744831739,0.5859021472407,0.525307439837661,NA
"PF3D7_0101800",0,NA,NA,NA,NA
"PF3D7_0101900",0,NA,NA,NA,NA
"PF3D7_0102000",0.153578085776154,-0.0455300439193664,0.583129158604799,0.749011254712138,NA
"PF3D7_0102100",0,NA,NA,NA,NA
"PF3D7_0102200",4145.71403825823,-2.27754074510184,0.184381764633307,3.75354550974017e-36,7.44553287312061e-34
"PF3D7_0102300",89.2268338863205,0.649277860097922,0.299996743375959,0.0130199313765578,0.0499349108247101
"PF3D7_0102400",44.0971023258863,-0.239425010296233,0.330435692678156,0.379718588642761,0.571618688613259
"PF3D7_0102500",5272.73340359683,-1.97313589207532,0.172097147703916,1.88031893688422e-31,2.27426868488021e-29
"PF3D7_0102600",30.9925598647184,-1.00681274023554,0.548071700039924,0.0110570744692009,0.0435520510665347
"PF3D7_0102700",13.5430030383072,-0.474954980875509,0.533390237958814,0.156899474530881,0.317728564721906
"PF3D7_0102800",28.4855544317813,1.4724490352474,0.542539654044224,0.000749924270619067,0.00449682522128168
"PF3D7_0102900",179.287788117194,0.100579985715275,0.218008917408476,0.620108880726526,0.771867454699509
"PF3D7_0103000",49.3990456403939,-0.184883733281873,0.313520370770864,0.484977544505266,0.663648327291741
"PF3D7_0103100",215.29075278361,-0.0424889207161772,0.218234559884525,0.831409742100805,0.913371934221952
"PF3D7_0103200",233.338414037619,0.102537589847774,0.221077168039694,0.61744558181645,0.769926924242789
"PF3D7_0103300",285.041807191742,-0.308835904497425,0.208525154683937,0.111129469385277,0.249701422148431
"PF3D7_0103400",1041.6663153678,-0.972813739403678,0.190273038685376,8.25885042662313e-08,1.20104513975437e-06
"PF3D7_0103500",118.877720068749,0.296629638402965,0.27446508255214,0.220658193263789,0.402443538210788
"PF3D7_0103600",157.769744473921,0.101778797861002,0.249059784221043,0.652292388852278,0.793601068772926
"PF3D7_0103700",26.7678284051624,-0.0497244269547425,0.372711237292354,0.861677762974866,0.930659042227961
"PF3D7_0103800",70.6858074795638,0.0797869427540779,0.295870468580563,0.755829557455179,0.86383009343633
"PF3D7_0103900",111.353502371112,0.319919331659101,0.260754439483807,0.169718043522914,0.335445108740587
"PF3D7_0104000",2.94994605747508,-0.216601934685296,0.584461210493233,0.332344729336998,0.526165948664817
