gene,SRR16966869,SRR16966870,SRR16966871,SRR16966872,SRR16966873,SRR16966874
PF3D7_1338500,1.0,4.002,1.22,2.001,2.834,6.302
PF3D7_1338600,1262.09,1669.278,895.383,1448.996,791.265,1557.861
PF3D7_1338700,567.274,745.693,291.587,854.135,546.907,810.287
PF3D7_1338800,46.274,32.815,10.87,64.231,66.688,53.839
PF3D7_1338900,98.31,133.553,96.375,106.791,220.066,215.054
PF3D7_1339000,4.047,3.002,4.735,0.0,6.043,3.033
PF3D7_1339300,564.849,801.241,719.541,424.904,550.832,627.238
PF3D7_1339400,60.465,105.74,97.505,23.07,59.962,62.63
PF3D7_1339500,3.006,2.767,3.166,6.017,1.242,8.004
PF3D7_1339600,42.816,58.367,60.897,32.748,57.931,38.935
PF3D7_1339700,760.484,1443.289,922.218,835.651,1870.784,1349.39
PF3D7_1339800,2.005,1.256,5.022,1.002,5.051,3.22
PF3D7_1339900,27.796,52.686,78.753,43.481,79.579,64.195
PF3D7_1340000,12.363,20.049,20.583,27.28,12.789,20.503
PF3D7_1340100,5.859,23.27,23.895,6.779,22.863,30.345
PF3D7_1340200,0.0,0.0,0.0,0.0,0.0,2.0
PF3D7_1340300,57.695,130.098,93.582,54.584,115.743,68.518
PF3D7_1340400,0.0,1.0,0.0,0.0,1.002,2.001
PF3D7_1340500,37.849,64.197,25.906,19.58,47.174,36.316
PF3D7_1340600,101.382,190.933,191.795,238.364,421.364,479.658
PF3D7_1340700,121.599,122.838,131.782,271.379,307.707,131.932
PF3D7_1340800,11.951,25.729,21.541,29.065,76.859,67.093
PF3D7_1340900,810.031,693.682,285.646,345.084,553.08,458.913
PF3D7_1341200,367.556,320.728,153.908,591.762,735.398,741.241
PF3D7_1341300,575.256,350.333,181.969,742.813,908.368,820.552
PF3D7_1341500,252.828,156.715,80.067,57.628,30.836,63.247
PF3D7_1341600,30.367,9.077,28.371,27.784,18.866,25.48
PF3D7_1341700,0.0,0.0,0.0,0.0,0.0,1.0
PF3D7_1341800,284.434,166.342,162.451,86.468,110.117,125.466
PF3D7_1341900,192.432,144.679,114.229,204.656,142.614,296.276
PF3D7_1342000,859.775,1002.206,1124.649,1930.469,1880.828,1900.587
PF3D7_1342100,527.645,572.392,594.129,276.047,620.571,498.224
PF3D7_1342200,0.0,4.146,3.884,4.83,7.621,6.657
PF3D7_1342300,9.392,53.345,22.842,24.062,54.929,55.944
PF3D7_1342400,437.902,420.479,570.606,675.98,763.014,775.008
PF3D7_1342500,58.515,55.65,54.624,3.515,30.45,16.594
PF3D7_1342600,9662.071,10483.032,9054.235,2333.25,2393.305,2311.464
